"","spotify_id","name","followers","genres"
"115","0SfsnGyD8FpIN4U4WCkBZ5","Armin van Buuren",4094260,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']"
"116","5Pwc4xIPtQLFEnJriah9YJ","OneRepublic",14155283,"['piano rock', 'pop', 'pop rock']"
"117","0fA0VVWsXO9YnASrzqfmYu","Kid Cudi",6000043,"['hip hop', 'ohio hip hop', 'rap']"
"118","46GXASE9LHzyssNqKOInUu","Dawin",222185,"['nyc pop']"
"119","0kkxsdcaWmWU2yWAqclDh4","Rixton",725878,"['australian pop', 'dance pop', 'pop', 'pop rock', 'post-teen pop', 'uk pop']"
"120","7FBDXY8U17aasVTH3rgxbS","Bankroll Fresh",541239,"['atl hip hop', 'atl trap', 'dirty south rap', 'gangster rap', 'houston rap', 'rap', 'southern hip hop', 'trap']"
"121","2EMAnMvWE2eb56ToJVfCWs","Bryson Tiller",5942355,"['kentucky hip hop', 'pop', 'r&b', 'rap', 'trap']"
"122","4AK6F7OLvEQ5QYCBNiQWHq","One Direction",27287402,"['boy band', 'pop', 'post-teen pop', 'talent show']"
"123","0uGk2czvcpWQA383Im6ajf","Maggie Lindemann",1815243,"['alt z', 'dark pop', 'pop', 'post-teen pop']"
"124","5ZsFI1h6hIdQRw2ti0hz81","ZAYN",21261196,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
"125","3YcBF2ttyueytpXtEzn1Za","Incubus",2941817,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'post-grunge', 'rock']"
"126","2oX42qP5ineK3hrhBECLmj","Andy Grammer",1089922,"['dance pop', 'neo mellow', 'pop', 'pop rap', 'pop rock']"
"127","0f5nVCcR06GX8Qikz0COtT","Omarion",2549587,"['dance pop', 'hip pop', 'pop r&b', 'r&b', 'southern hip hop', 'urban contemporary']"
"128","5ZS223C6JyBfXasXxrRqOk","Jhené Aiko",5804969,"['pop', 'r&b', 'urban contemporary']"
"129","63yrD80RY3RNEM2YDpUpO8","Melanie Martinez",14998569,"['alt z', 'electropop', 'pop']"
"130","2qxJFvFYMEDqd7ui6kSAcq","Zedd",5803650,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house', 'uk pop']"
"131","4l1cKWYW591xnwEGxpUg3J","Miike Snow",612412,"['alternative dance', 'electropop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'swedish electropop', 'swedish indie pop', 'swedish synthpop']"
