"ego_spotify_id","alter_spotify_id", "alter_name", "alter_followers"
4YXycRbyyAE0wozTk7QMEq,5fiYAV2DWASxAUKDq7Gbe9,Luca Schreiner,7207.0
4YXycRbyyAE0wozTk7QMEq,77AiFEVeAVj2ORpC85QVJs,Steve Aoki,3689746.0
4YXycRbyyAE0wozTk7QMEq,4kwEd1P9j15ZqUVP5zK7Pv,Joe Stone,32782.0
4YXycRbyyAE0wozTk7QMEq,6i1GVNJCyyssRwXmnaeEFH,Syn Cole,216513.0
4YXycRbyyAE0wozTk7QMEq,6MDME20pz9RveH9rEXvrOM,Clean Bandit,4901516.0
4YXycRbyyAE0wozTk7QMEq,4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn,1223000.0
4YXycRbyyAE0wozTk7QMEq,61ipISvUVa5LkJlKZnm3Oo,Alle Farben,320658.0
4YXycRbyyAE0wozTk7QMEq,7hOGhpa8RMSuDOWntGIAJt,A R I Z O N A,391057.0
4YXycRbyyAE0wozTk7QMEq,7xEFii6utZmQ61kX59HmLH,FRENSHIP,178254.0
360IAlyVv4PCEVjgyMZrxK,5CiGnKThu5ctn9pBxv7DGa,benny blanco,995604.0
360IAlyVv4PCEVjgyMZrxK,6ueGR6SWhUJfvEhqkvMsVs,Janelle Monáe,1247940.0
360IAlyVv4PCEVjgyMZrxK,7kNqXtgeIwFtelmRjWv205,John Summit,89617.0
360IAlyVv4PCEVjgyMZrxK,5XenQ7XfcvQdfIbpLEFaKQ,GoldLink,806943.0
360IAlyVv4PCEVjgyMZrxK,5INjqkS1o8h1imAzPqGZBb,Tame Impala,5859109.0
360IAlyVv4PCEVjgyMZrxK,4LLpKhyESsyAXpc4laK94U,Mac Miller,7958058.0
360IAlyVv4PCEVjgyMZrxK,4AGwPDdh1y8hochNzHy5HC,RAC,156329.0
360IAlyVv4PCEVjgyMZrxK,6olWbKW2VLhFCHfOi0iEDb,Hudson Mohawke,126590.0
360IAlyVv4PCEVjgyMZrxK,3iN9k8uvm4WrgdlOigOH8D,Hook N Sling,27924.0
360IAlyVv4PCEVjgyMZrxK,3ipn9JLAPI5GUEo4y4jcoi,Ludacris,2442629.0
